index	prediction
0	4.021087169647217
1	3.8071601390838623
2	5.0
3	5.0
4	1.9516137838363647
5	2.388882875442505
6	3.819504737854004
7	1.7832375764846802
8	2.4256458282470703
9	1.7503267526626587
10	1.7503267526626587
11	5.0
12	0.7145804762840271
13	5.0
14	2.073824644088745
15	2.0189054012298584
16	4.380960464477538
17	3.184279441833496
18	3.078702449798584
19	0.7908463478088379
20	2.210775375366211
21	0.4034907817840576
22	4.873329162597656
23	5.0
24	1.4395594596862793
25	3.195500373840332
26	0.903510808944702
27	2.5026254653930664
28	0.631671130657196
29	2.6523139476776123
30	2.945321083068848
31	4.853817939758301
32	0.5015357136726379
33	4.864893436431885
34	3.367880821228028
35	0.23148830235004425
36	0.4502507150173187
37	2.405344247817993
38	4.471131324768066
39	0.4158895313739777
40	4.064657211303712
41	2.884417057037353
42	2.8368141651153564
43	0.3723920285701752
44	2.1008257865905757
45	0.31879204511642456
46	0.26976194977760315
47	1.1427741050720217
48	4.921478271484375
49	1.8295241594314573
50	0.8875332474708557
51	2.0126500129699707
52	0.7743098735809326
53	0.35414764285087585
54	1.6929879188537598
55	0.22480961680412287
56	3.7155280113220215
57	0.7194086313247681
58	4.207152843475342
59	0.9467816352844238
60	5.0
61	0.0
62	3.9341096878051762
63	0.3215509653091431
64	3.734520673751831
65	0.23877549171447754
66	0.3632553517818451
67	4.2978715896606445
68	0.06885077059268951
69	4.05042028427124
70	3.516317129135132
71	4.476743221282959
72	0.0
73	4.4787187576293945
74	4.009383201599121
75	0.12320936471223833
76	0.42895600199699396
77	0.04654398933053017
78	2.698965311050415
79	3.5020155906677246
80	0.04698237031698227
81	0.4634193480014801
82	2.7105207443237305
83	0.9983032941818236
84	0.23786015808582306
85	1.983558297157288
86	3.622077465057373
87	4.499089241027832
88	4.282128810882568
89	2.001604557037353
90	1.9028937816619875
91	3.805051326751709
92	0.568264901638031
93	3.963571310043335
94	2.9809818267822266
95	4.731706619262695
96	4.414700508117676
97	4.237708568572998
98	2.5939669609069824
99	4.145720481872559
100	0.0
101	0.2710888385772705
102	2.7557623386383057
103	3.2644131183624268
104	4.068707942962647
105	3.7037754058837886
106	0.1048554703593254
107	2.7452051639556885
108	1.7374053001403809
109	2.9104409217834477
